PudDdz;Temp;Mitrums
38;26.1;30.0
68;26.1;30.0
282;26.1;30.0
256;26.2;68.0
186;26.2;68.0
127;25.2;42.0
430;21.8;31.0
220;22.0;34.0
158;20.6;30.0
172;23.9;28.0
155;19.3;32.0
225;20.9;30.0
104;23.0;25.0
121;23.0;34.0
138;23.6;34.0
237;21.9;27.0
169;21.8;25.0
479;25.3;30.0
329;26.3;31.0
114;27.4;30.0
87;24.4;31.0
147;25.4;30.0
129;26.0;30.0
56;24.6;33.0
138;24.6;33.0
193;27.4;30.0
158;22.5;31.0
164;28.0;32.0
418;19.7;39.0
180;18.5;37.0
242;19.4;40.0
202;19.3;46.0
188;18.6;49.0
78;19.9;51.0
61;19.4;50.0
89;19.4;50.0
68;19.5;50.0
168;20.0;49.0
356;20.1;47.0
304;20.0;48.0
219;19.7;48.0
207;19.4;52.0
200;20.0;51.0
188;18.9;52.0
225;20.1;50.0
244;19.8;47.0
231;20.9;44.0
151;20.6;44.0
194;19.7;46.0
257;20.2;46.0
215;20.5;48.0
170;20.9;55.0
109;22.1;55.0
146;22.0;57.0
123;22.3;55.0
123;22.3;55.0
180;22.6;54.0
250;21.3;57.0
234;21.4;56.0
241;21.0;49.0
285;23.3;43.0
189;23.2;43.0
222;24.0;45.0
226;24.8;41.0
169;26.2;57.0
117;26.7;52.0
188;26.3;56.0
228;27.0;56.0
162;25.7;57.0
121;27.0;52.0
193;25.9;55.0
167;27.7;50.0
156;25.9;51.0
169;27.4;48.0
155;26.7;55.0
144;26.9;61.0
175;27.0;60.0
220;28.5;52.0
391;34.0;32.0
314;34.0;32.0
222;34.0;32.0
258;29.8;35.0
169;31.1;36.0
284;36.0;32.0
204;36.0;32.0
163;28.8;44.0
185;28.0;40.0
341;27.3;38.0
199;27.1;40.0
173;28.0;36.0
259;29.9;37.0
235;30.9;39.0
169;29.1;41.0
186;27.4;44.0
175;28.9;38.0
151;27.3;53.0
135;27.4;59.0
148;27.3;60.0
150;26.0;62.0
155;27.3;59.0
182;26.5;58.0
164;28.0;52.0
164;26.0;51.0
194;26.7;50.0
190;25.5;48.0
140;26.4;44.0
183;25.2;49.0
248;26.1;44.0
181;25.5;47.0
167;26.1;44.0
167;24.4;58.0
165;25.5;55.0
186;24.1;55.0
174;23.5;51.0
198;24.5;57.0
194;25.2;54.0
220;24.1;57.0
200;25.8;51.0
163;22.5;50.0
216;22.6;44.0
225;21.1;47.0
205;21.4;44.0
273;20.9;46.0
221;21.5;44.0
137;23.3;48.0
97;25.7;54.0
117;25.5;52.0
152;22.5;63.0
197;22.9;60.0
190;21.2;47.0
244;22.6;44.0
228;21.2;48.0
281;22.1;44.0
248;22.3;44.0
180;19.8;44.0
188;20.9;45.0
127;21.5;43.0
120;24.0;46.0
176;19.2;46.0
169;19.6;45.0
200;19.3;50.0
173;19.7;48.0
232;19.1;52.0
209;19.4;50.0
225;18.8;48.0
238;19.9;48.0
306;18.6;44.0
214;19.9;42.0
183;20.4;39.0
225;18.0;41.0
214;18.3;40.0
164;18.0;45.0
188;17.8;46.0
180;18.4;46.0
249;17.7;48.0
248;16.9;48.0
211;17.1;46.0
226;16.4;49.0
109;16.9;62.0
161;17.5;45.0
142;18.3;49.0
109;18.9;50.0
123;19.0;55.0
109;19.5;56.0
118;19.3;50.0
82;20.1;46.0
107;19.7;47.0
192;19.3;45.0
205;19.9;45.0
179;19.7;48.0
149;19.9;48.0
121;18.8;46.0
99;18.6;39.0
101;18.6;39.0
103;18.6;41.0
105;19.1;44.0
177;18.0;37.0
157;18.2;37.0
178;18.4;37.0
133;18.5;42.0
161;17.8;37.0